"period","BA","DM","DO","DS","NA","OL","OT","PB","PE","PF","PH","PI","PL","PM","PP","RF","RM","RO","SF","SH","SO"
27,0,16,0,11,1,6,12,0,2,2,0,0,0,0,3,0,0,0,0,0,0
28,0,15,5,15,5,4,10,0,3,1,0,0,0,0,2,0,1,0,0,0,0
29,0,25,3,11,4,9,10,0,5,5,0,0,0,1,1,0,5,0,0,0,0
30,0,35,7,11,5,15,9,0,1,8,0,0,0,0,0,0,6,0,0,0,0
31,0,19,6,11,1,10,4,0,3,7,0,0,0,0,0,0,11,0,0,0,0
32,0,23,1,23,1,6,5,0,2,10,0,0,0,0,0,0,10,0,0,0,0
33,0,22,2,26,1,6,5,0,1,11,0,0,0,0,1,0,6,0,0,0,0
34,0,23,3,36,9,5,1,0,1,6,0,0,0,0,2,0,0,0,0,0,0
35,0,21,6,30,4,2,4,0,2,3,0,0,0,0,3,0,0,0,0,0,0
36,0,15,6,16,4,1,2,0,2,4,0,0,0,0,1,0,0,0,0,0,0
37,0,14,4,17,4,2,2,0,0,6,0,0,0,0,2,0,0,0,0,0,0
38,0,17,1,21,4,1,6,0,1,9,0,0,0,0,5,0,0,0,0,0,0
39,0,19,1,18,3,7,14,0,1,5,0,0,0,0,2,0,1,0,0,0,0
40,0,24,4,22,5,9,7,0,1,7,0,0,0,0,0,0,0,0,0,0,0
41,0,32,7,21,6,7,9,0,1,6,0,0,0,0,0,0,0,0,0,0,0
43,0,31,14,24,4,7,1,0,3,5,0,0,0,0,1,0,3,0,0,0,0
44,0,24,3,26,2,3,10,0,1,6,0,0,0,1,0,0,2,0,0,0,0
45,0,33,8,32,3,1,2,0,3,8,0,0,0,1,1,0,1,0,0,0,0
46,0,33,9,34,6,2,3,0,2,4,0,0,0,2,4,0,2,0,0,0,0
47,0,34,8,24,6,0,1,0,0,7,0,0,0,1,2,0,0,0,0,0,0
48,0,23,4,13,2,3,4,0,0,2,0,0,0,0,5,0,0,0,0,0,0
49,0,21,5,11,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
50,0,21,3,12,5,2,6,0,4,0,0,0,0,0,0,0,1,0,0,0,0
51,0,33,3,12,7,8,10,0,6,3,0,0,0,1,2,0,0,0,0,0,0
52,0,49,6,19,9,6,8,0,7,5,0,0,0,2,0,0,5,0,0,0,0
53,0,36,7,20,9,2,2,0,14,7,0,0,0,4,0,0,17,0,0,0,0
54,0,43,7,9,6,6,5,0,14,8,0,0,0,3,0,0,15,0,0,0,0
55,0,54,9,26,10,7,3,0,17,10,0,0,0,3,0,0,36,0,0,0,0
56,0,48,10,25,7,5,5,0,11,10,0,0,0,11,2,0,34,0,0,0,0
57,0,34,10,38,6,2,3,0,11,6,0,0,0,11,3,1,14,0,0,0,0
58,0,41,7,39,12,4,5,0,10,7,0,0,0,3,3,0,11,0,0,1,0
59,0,43,8,38,15,3,6,0,10,15,0,0,0,6,4,0,10,0,0,1,0
60,0,44,8,35,19,3,11,0,9,19,0,0,0,9,6,0,4,0,0,0,0
61,0,57,9,30,12,4,8,0,7,18,0,0,0,10,8,0,8,0,0,0,0
62,0,48,7,20,5,6,13,0,3,10,0,0,0,4,4,0,0,0,0,0,0
63,0,61,17,25,9,13,7,0,4,24,0,0,0,4,0,1,12,0,0,0,0
64,0,71,19,18,3,11,4,0,1,10,0,0,0,6,0,0,19,0,0,0,0
65,0,54,18,10,1,9,7,0,3,5,0,0,0,2,0,0,21,0,0,0,0
66,0,57,18,19,0,11,5,0,3,22,0,0,0,1,0,0,25,0,0,1,0
67,0,41,13,37,3,4,0,0,9,27,0,0,0,4,2,0,17,0,0,1,0
68,0,38,6,30,5,0,9,0,12,14,0,0,0,3,5,0,14,0,0,0,0
69,0,28,16,27,9,4,7,0,2,10,0,0,0,3,3,0,2,0,0,0,0
70,0,33,10,13,10,4,8,0,0,6,0,0,0,4,5,0,4,0,0,0,0
71,0,40,8,18,14,2,9,0,1,7,0,0,0,3,9,0,1,0,0,0,0
72,0,40,15,27,22,4,4,0,2,6,0,0,0,3,6,0,4,0,0,0,0
73,0,44,15,32,14,3,10,0,2,3,0,0,0,3,1,0,3,0,0,0,0
74,0,42,16,26,9,6,14,0,0,3,0,0,0,6,1,0,8,0,0,0,0
75,0,40,13,23,8,7,9,0,3,1,0,0,0,4,0,0,8,0,0,0,0
76,0,39,11,18,3,6,3,0,0,0,0,0,0,2,0,0,17,0,0,0,0
77,0,27,8,17,1,5,1,0,0,0,0,0,0,2,2,0,3,0,0,0,0
78,0,20,5,15,7,3,3,0,1,2,0,0,0,3,4,0,3,0,0,0,0
79,0,30,8,3,10,8,5,0,2,1,0,0,0,1,4,0,5,0,0,0,0
80,0,28,7,1,7,8,5,0,3,0,0,0,0,0,4,0,8,0,0,0,0
81,0,22,5,3,13,6,7,0,4,0,0,0,0,1,5,0,5,0,0,0,0
82,0,22,4,0,9,4,6,0,2,1,2,0,0,0,1,0,3,0,0,0,0
83,0,48,8,3,6,6,5,0,1,1,1,0,0,0,3,0,4,0,0,0,0
84,0,50,12,3,3,14,4,0,0,1,3,0,0,0,1,0,4,0,0,0,0
85,0,37,14,1,0,4,6,0,2,0,1,0,0,1,0,0,4,0,0,0,0
86,0,65,29,2,0,8,7,0,3,0,0,0,0,3,0,0,11,0,0,0,0
87,0,53,18,3,1,13,2,0,5,1,0,0,0,1,0,0,8,0,0,0,0
88,0,47,18,4,1,14,4,0,4,0,0,0,0,4,0,0,5,0,0,0,0
89,0,32,11,7,3,4,3,0,2,0,0,0,0,1,4,0,6,0,0,0,0
90,0,37,13,12,2,2,0,0,1,0,0,0,0,0,3,0,8,0,0,0,0
91,0,43,13,10,9,3,4,0,2,0,0,0,0,1,3,0,3,0,0,0,0
92,0,42,17,6,10,3,5,0,0,0,0,0,0,0,7,0,1,0,0,0,0
93,0,50,13,8,4,5,6,0,5,0,1,0,0,0,8,0,2,0,0,0,0
94,0,50,18,11,5,13,9,0,8,0,0,0,0,1,2,0,3,0,0,0,0
95,0,61,17,11,4,7,8,0,9,0,1,0,0,0,1,0,7,0,0,0,0
96,0,58,16,9,4,7,8,0,8,0,1,0,0,0,1,0,14,0,0,0,0
97,0,43,15,14,5,6,3,0,7,0,1,0,0,0,2,0,13,0,0,0,0
98,0,43,11,13,5,5,1,0,2,0,0,0,0,2,3,0,4,0,0,0,0
99,0,39,9,12,10,2,4,0,8,0,0,0,0,5,2,0,10,0,0,0,0
100,0,39,11,5,11,2,4,0,2,0,0,0,0,4,4,0,3,0,0,0,0
101,0,44,12,7,7,3,3,0,2,1,0,0,0,4,5,0,8,0,0,0,0
102,0,37,6,7,4,2,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0
