alpha1,alpha2,alpha3
0.69073,0.0463096,0.01398015
0.6976495,0.07972335,0.0223227
0.6971895,0.08423885,0.000972999
0.689802,0.0966142,-0.0549429
0.6727765,0.08327575,-0.1262885
0.63907,0.02069055,-0.194924
0.5959015,-0.0788283,-0.257444
0.555475,-0.1848185,-0.293327
0.5219955,-0.2711925,-0.303949
0.5160715,-0.3141485,-0.2220205
0.518858,-0.3621815,-0.1131345
0.525165,-0.4034445,-0.01700365
0.5374955,-0.4374265,0.07916545
0.541971,-0.446669,0.1530545
0.496915,-0.412602,0.004376955
0.391801,-0.3472305,-0.107915
0.364498,-0.2197845,-0.07319215
0.36637,-0.08693655,-0.002635315
0.374336,-0.0459877,0.07776675
0.3823205,-0.03066665,0.1224595
0.396816,-0.0291374,0.140432
0.411054,-0.0437709,0.173374
0.4282835,-0.04993275,0.276902
0.445563,-0.03191675,0.297769
0.441063,-0.09912885,0.100843
0.4265845,-0.1358215,-0.107091
0.412488,-0.1548435,-0.287814
0.419607,-0.13488,-0.4300265
0.448288,-0.0607816,-0.5210735
0.4859165,-0.0104193,-0.526213
0.50587,-0.02120645,-0.515577
0.5264215,-0.0666924,-0.493162
0.547333,-0.117829,-0.449299
0.565458,-0.167744,-0.3922655
0.579827,-0.2252195,-0.3117565
0.5863785,-0.293457,-0.2417745
0.5834095,-0.3499865,-0.1736445
0.5748895,-0.4090155,-0.128269
0.561877,-0.414907,-0.09209975
0.549848,-0.3431025,-0.05311495
0.5308855,-0.256787,-0.0150664
0.5056745,-0.172493,-0.001533195
0.488488,-0.1054765,0.03564945
0.488945,-0.05793435,0.1258315
0.523299,-0.01825935,0.271777
0.5838685,0.003285945,0.3229985
0.666038,0.0198663,0.2850605
0.7175375,-0.02128845,0.114448
0.7126335,-0.1199215,-0.08367505
0.6488535,-0.1766095,-0.1494845
0.585228,-0.152094,-0.02417685
0.579029,-0.0444644,0.002148765
0.605622,0.1109185,-0.132844
0.59168,0.1124245,-0.249911
0.528422,-0.0259536,-0.264213
0.441644,-0.1486855,-0.272602
0.342533,-0.2792355,-0.271214
0.298469,-0.3531685,-0.2239525
