"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
1,2,-0.24253571476033,0.970135724577853,0.00257106015211608,-0.231630468741214,0.926521874964857,-0.296486999988754,-0.970104047639034,-0.242686434403374,-0.00119637408045289
1,3,-0.231630468741214,0.926521874964857,-0.296486999988754,-4.70748039745595e-06,0.952452653141898,-0.304686546883982,4.27097804311059e-05,0.304585327706087,0.952485053070152
1,6,-4.70748039745595e-06,0.952452653141898,-0.304686546883982,0,1,0,-0.999999438466476,-0.000130464007465334,-0.00105168715687425
1,7,0,1,0,-0.24253571476033,0.970135724577853,0.00257106015211608,0.000466563716876902,-0.00515503047518663,0.999986603899821
2,1,-0.24253571476033,0.970135724577853,0.00257106015211608,-0.231630468741214,0.926521874964857,-0.296486999988754,-0.970104047639034,-0.242686434403374,-0.00119637408045289
2,0,-0.231630468741214,0.926521874964857,-0.296486999988754,-0.352031934478667,0.93598798858059,4.83742661779281e-05,-0.878175184491488,-0.330270232428321,-0.346020113454527
2,5,-0.352031934478667,0.93598798858059,4.83742661779281e-05,-0.24253571476033,0.970135724577853,0.00257106015211608,0.000182199751707068,1.68440897524222e-05,0.999999983259763
3,1,-0.231630468741214,0.926521874964857,-0.296486999988754,-4.70748039745595e-06,0.952452653141898,-0.304686546883982,4.27097804311059e-05,0.304585327706087,0.952485053070152
3,4,-4.70748039745595e-06,0.952452653141898,-0.304686546883982,0.000262246878299453,0.915998202572107,-0.401182282897991,0.999989714826411,0.00157627998553946,0.00425271475655653
3,0,0.000262246878299453,0.915998202572107,-0.401182282897991,-0.231630468741214,0.926521874964857,-0.296486999988754,0.396405244717643,0.368220468143682,0.840997365513349
4,3,-4.70748039745595e-06,0.952452653141898,-0.304686546883982,0.000262246878299453,0.915998202572107,-0.401182282897991,0.999989714826411,0.00157627998553946,0.00425271475655653
4,0,0.000262246878299453,0.915998202572107,-0.401182282897991,0.904498646461613,0.000319099173152444,-0.426476372997178,0.396405244717643,0.368220468143682,0.840997365513349
4,13,0.904498646461613,0.000319099173152444,-0.426476372997178,0.946813369521381,7.64973607070679e-05,-0.321783171686934,0.000621851553847235,0.999997670230294,0.00206708360485321
4,12,0.946813369521381,7.64973607070679e-05,-0.321783171686934,0.667580314251637,0.709111336495537,-0.226930867246689,-0.321941223899937,0.000183800766305285,-0.946759639280789
4,6,0.667580314251637,0.709111336495537,-0.226930867246689,-4.70748039745595e-06,0.952452653141898,-0.304686546883982,-7.22895731973018e-07,0.304787778286449,0.952420290736547
5,2,-0.352031934478667,0.93598798858059,4.83742661779281e-05,-0.24253571476033,0.970135724577853,0.00257106015211608,0.000182199751707068,1.68440897524222e-05,0.999999983259763
5,7,-0.24253571476033,0.970135724577853,0.00257106015211608,-0.188539489687974,0.754562621616176,0.628560329102039,-0.970180111646436,-0.242385124980347,4.64108881851614e-05
5,11,-0.188539489687974,0.754562621616176,0.628560329102039,-0.287320952932228,5.94016424761389e-05,0.957834341878491,0.957841406976835,-2.15375614549262e-05,0.287297474086999
